model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
stacking_with_f_tests-alpha=0.50,enron,0.0335,0.0193,-0.0656,0.0025,0.0638,0.0106
stacking_with_f_tests-alpha=0.50,genbase,0.9411,0.034,-0.0034,0.0022,0.5877,0.0425
stacking_with_f_tests-alpha=0.50,medical,0.4857,0.0377,-0.0169,0.0016,0.1938,0.019
stacking_with_f_tests-alpha=0.75,birds,0.4977,0.0515,-0.0487,0.0064,0.2578,0.0199
stacking_with_f_tests-alpha=0.75,emotions,0.3018,0.0304,-0.2316,0.0143,0.6179,0.0283
stacking_with_f_tests-alpha=0.75,scene,0.5788,0.0485,-0.1244,0.0198,0.3942,0.0244
stacking_with_f_tests-alpha=0.75,yeast,0.2139,0.0127,-0.2098,0.0054,0.4245,0.011
stacking_with_f_tests-alpha=0.75,enron,0.0394,0.0188,-0.067,0.0034,0.064,0.0114
stacking_with_f_tests-alpha=0.75,genbase,0.9441,0.0326,-0.0038,0.0029,0.5852,0.0442
stacking_with_f_tests-alpha=0.75,medical,0.4929,0.0403,-0.0172,0.0019,0.1971,0.0237
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,0.5008,0.0474,-0.0494,0.0063,0.2915,0.0162
classifier_chain_with_f_test_ordering-ascending_chain=False,emotions,0.3036,0.028,-0.2299,0.011,0.6193,0.0334
classifier_chain_with_f_test_ordering-ascending_chain=False,scene,0.6153,0.0453,-0.1184,0.0192,0.3963,0.0244
classifier_chain_with_f_test_ordering-ascending_chain=False,yeast,0.2342,0.0166,-0.2172,0.0023,0.4317,0.0076
classifier_chain_with_f_test_ordering-ascending_chain=False,enron,0.0394,0.0203,-0.0676,0.0018,0.0663,0.0124
classifier_chain_with_f_test_ordering-ascending_chain=False,genbase,0.9411,0.0329,-0.0035,0.0023,0.5847,0.0439
classifier_chain_with_f_test_ordering-ascending_chain=False,medical,0.5144,0.0446,-0.0164,0.0019,0.2056,0.0136
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,0.4946,0.0562,-0.0535,0.01,0.2941,0.0432
classifier_chain_with_f_test_ordering-ascending_chain=True,emotions,0.2867,0.0213,-0.2333,0.0134,0.6017,0.0511
classifier_chain_with_f_test_ordering-ascending_chain=True,scene,0.5858,0.0553,-0.1296,0.0209,0.3857,0.0241
classifier_chain_with_f_test_ordering-ascending_chain=True,yeast,0.2375,0.0175,-0.2109,0.0028,0.4294,0.0137
classifier_chain_with_f_test_ordering-ascending_chain=True,enron,0.0599,0.0282,-0.0682,0.0043,0.0633,0.0091
classifier_chain_with_f_test_ordering-ascending_chain=True,genbase,0.938,0.0375,-0.0036,0.0024,0.5847,0.0439
classifier_chain_with_f_test_ordering-ascending_chain=True,medical,0.5032,0.059,-0.0177,0.0023,0.1935,0.0205
classifier_chain_with_lop-num_generations=10,birds,0.493,0.0562,-0.0535,0.0104,0.2783,0.0362
classifier_chain_with_lop-num_generations=10,emotions,0.3035,0.0116,-0.226,0.0082,0.6147,0.0284
classifier_chain_with_lop-num_generations=10,scene,0.5676,0.0651,-0.134,0.0249,0.3839,0.023
classifier_chain_with_lop-num_generations=10,yeast,0.2367,0.0109,-0.2135,0.0047,0.4274,0.0086
classifier_chain_with_lop-num_generations=10,enron,0.0564,0.018,-0.0677,0.0041,0.0647,0.0077
classifier_chain_with_lop-num_generations=10,genbase,0.9411,0.034,-0.0034,0.0022,0.5846,0.0429
classifier_chain_with_lop-num_generations=10,medical,0.5072,0.0536,-0.0179,0.0019,0.1908,0.0163
classifier_chain_with_lop-num_generations=25,birds,0.4977,0.0545,-0.0525,0.0094,0.2954,0.0289
classifier_chain_with_lop-num_generations=25,emotions,0.3103,0.0194,-0.2277,0.0091,0.6148,0.0259
classifier_chain_with_lop-num_generations=25,scene,0.568,0.0641,-0.1341,0.0245,0.3833,0.0229
classifier_chain_with_lop-num_generations=25,yeast,0.2367,0.0152,-0.2148,0.0038,0.4185,0.0149
classifier_chain_with_lop-num_generations=25,enron,0.0617,0.0222,-0.0673,0.0048,0.0635,0.0099
classifier_chain_with_lop-num_generations=25,genbase,0.9396,0.0351,-0.0036,0.0025,0.5843,0.0445
classifier_chain_with_lop-num_generations=25,medical,0.5021,0.0558,-0.0181,0.0022,0.1845,0.0205
classifier_chain_with_lop-num_generations=50,birds,0.4977,0.0558,-0.054,0.0085,0.2966,0.0207
classifier_chain_with_lop-num_generations=50,emotions,0.312,0.0199,-0.2254,0.0081,0.6202,0.026
classifier_chain_with_lop-num_generations=50,scene,0.568,0.0646,-0.1345,0.0244,0.383,0.0218
classifier_chain_with_lop-num_generations=50,yeast,0.2433,0.0175,-0.2106,0.0042,0.4239,0.0125
classifier_chain_with_lop-num_generations=50,enron,0.0494,0.0188,-0.0674,0.004,0.0627,0.0104
classifier_chain_with_lop-num_generations=50,genbase,0.9426,0.035,-0.0034,0.0023,0.5843,0.0445
classifier_chain_with_lop-num_generations=50,medical,0.5031,0.0415,-0.0177,0.0018,0.1855,0.0156
partial_classifier_chain_with_lop-num_generations=10,birds,0.4977,0.0486,-0.0484,0.0068,0.2846,0.0293
partial_classifier_chain_with_lop-num_generations=10,emotions,0.3052,0.0236,-0.2285,0.0069,0.6168,0.0295
partial_classifier_chain_with_lop-num_generations=10,scene,0.563,0.0638,-0.1335,0.0248,0.3835,0.0228
partial_classifier_chain_with_lop-num_generations=10,yeast,0.2354,0.0118,-0.2089,0.006,0.4277,0.0163
partial_classifier_chain_with_lop-num_generations=10,enron,0.0447,0.0117,-0.0649,0.0053,0.0629,0.0095
partial_classifier_chain_with_lop-num_generations=10,genbase,0.9396,0.0364,-0.0035,0.0023,0.5855,0.0427
partial_classifier_chain_with_lop-num_generations=10,medical,0.4796,0.0352,-0.0169,0.0016,0.1915,0.0135
partial_classifier_chain_with_lop-num_generations=25,birds,0.4961,0.0495,-0.0473,0.0065,0.2914,0.0299
partial_classifier_chain_with_lop-num_generations=25,emotions,0.3069,0.0256,-0.231,0.0088,0.6118,0.0344
partial_classifier_chain_with_lop-num_generations=25,scene,0.5626,0.0632,-0.1333,0.0251,0.3823,0.0213
partial_classifier_chain_with_lop-num_generations=25,yeast,0.2379,0.0159,-0.2121,0.0052,0.4187,0.0134
partial_classifier_chain_with_lop-num_generations=25,enron,0.0429,0.0166,-0.065,0.0054,0.0626,0.0087
partial_classifier_chain_with_lop-num_generations=25,genbase,0.9426,0.0316,-0.0033,0.0021,0.5872,0.0425
partial_classifier_chain_with_lop-num_generations=25,medical,0.4837,0.0389,-0.017,0.0016,0.1901,0.0174
partial_classifier_chain_with_lop-num_generations=50,birds,0.4946,0.0513,-0.0486,0.0063,0.2767,0.0298
partial_classifier_chain_with_lop-num_generations=50,emotions,0.3053,0.0256,-0.2299,0.008,0.6148,0.0354
partial_classifier_chain_with_lop-num_generations=50,scene,0.5626,0.0632,-0.1335,0.0251,0.3823,0.0213
partial_classifier_chain_with_lop-num_generations=50,yeast,0.2367,0.0147,-0.2095,0.0065,0.4208,0.0122
partial_classifier_chain_with_lop-num_generations=50,enron,0.0394,0.0207,-0.0645,0.0052,0.0632,0.0109
partial_classifier_chain_with_lop-num_generations=50,genbase,0.9396,0.0364,-0.0035,0.0023,0.5853,0.0427
partial_classifier_chain_with_lop-num_generations=50,medical,0.4898,0.0399,-0.0167,0.0017,0.1922,0.0136
