model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
baseline_binary_relevance_model,birds,0.4992,0.0461,-0.0472,0.0065,0.2994,0.0265
baseline_binary_relevance_model,emotions,0.2867,0.0181,-0.2167,0.0085,0.6077,0.0256
baseline_binary_relevance_model,scene,0.5542,0.0625,-0.12,0.0222,0.3819,0.022
baseline_binary_relevance_model,yeast,0.2106,0.0124,-0.2059,0.006,0.4265,0.0178
baseline_binary_relevance_model,enron,0.0359,0.0179,-0.0637,0.0047,0.0644,0.0108
baseline_binary_relevance_model,genbase,0.9411,0.034,-0.0032,0.002,0.5893,0.0427
baseline_binary_relevance_model,medical,0.4868,0.0402,-0.0169,0.0018,0.1905,0.0135
baseline_stacked_generalization,birds,0.5085,0.0497,-0.0469,0.0067,0.3063,0.0315
baseline_stacked_generalization,emotions,0.29,0.0318,-0.2164,0.0142,0.6176,0.0317
baseline_stacked_generalization,scene,0.5663,0.068,-0.1197,0.0236,0.3869,0.0241
baseline_stacked_generalization,yeast,0.2205,0.011,-0.2096,0.0044,0.4231,0.0172
baseline_stacked_generalization,enron,0.047,0.0168,-0.0639,0.0051,0.0661,0.0107
baseline_stacked_generalization,genbase,0.9411,0.034,-0.0032,0.002,0.5893,0.0427
baseline_stacked_generalization,medical,0.5042,0.0471,-0.0164,0.0018,0.1965,0.0173
baseline_dependant_binary_relevance,birds,0.4915,0.0429,-0.0509,0.0062,0.298,0.0232
baseline_dependant_binary_relevance,emotions,0.2732,0.0411,-0.2204,0.0104,0.6268,0.0274
baseline_dependant_binary_relevance,scene,0.5738,0.0549,-0.1274,0.0228,0.396,0.0235
baseline_dependant_binary_relevance,yeast,0.2168,0.0104,-0.2111,0.0048,0.4259,0.0119
baseline_dependant_binary_relevance,enron,0.0347,0.0162,-0.0644,0.005,0.0666,0.0117
baseline_dependant_binary_relevance,genbase,0.9411,0.0362,-0.004,0.0032,0.5829,0.0459
baseline_dependant_binary_relevance,medical,0.5001,0.036,-0.0173,0.0017,0.2,0.0172
baseline_classifier_chain,birds,0.4853,0.0623,-0.0561,0.0096,0.2722,0.0352
baseline_classifier_chain,emotions,0.3019,0.0236,-0.2228,0.0119,0.6232,0.0415
baseline_classifier_chain,scene,0.5767,0.0642,-0.1314,0.0246,0.3861,0.0224
baseline_classifier_chain,yeast,0.2474,0.0108,-0.2179,0.0047,0.4361,0.0083
baseline_classifier_chain,enron,0.0722,0.0457,-0.0644,0.0056,0.0662,0.0095
baseline_classifier_chain,genbase,0.9441,0.0326,-0.0032,0.0022,0.5876,0.0438
baseline_classifier_chain,medical,0.5041,0.0488,-0.017,0.0019,0.1999,0.0175
stacking_with_f_tests-alpha=0.25,birds,0.4992,0.0432,-0.0474,0.0059,0.2871,0.0295
stacking_with_f_tests-alpha=0.25,emotions,0.2867,0.0181,-0.2167,0.0085,0.6077,0.0256
stacking_with_f_tests-alpha=0.25,scene,0.5542,0.0625,-0.1201,0.0221,0.3819,0.022
stacking_with_f_tests-alpha=0.25,yeast,0.2118,0.0128,-0.2065,0.006,0.4268,0.0173
stacking_with_f_tests-alpha=0.25,enron,0.0353,0.018,-0.0637,0.0046,0.0643,0.0109
stacking_with_f_tests-alpha=0.25,genbase,0.9411,0.034,-0.0032,0.002,0.5893,0.0427
stacking_with_f_tests-alpha=0.25,medical,0.4816,0.039,-0.017,0.0018,0.1905,0.0158
stacking_with_f_tests-alpha=0.50,birds,0.4946,0.0423,-0.049,0.0062,0.2793,0.0209
stacking_with_f_tests-alpha=0.50,emotions,0.3035,0.0236,-0.2198,0.0105,0.6172,0.0274
stacking_with_f_tests-alpha=0.50,scene,0.5713,0.0582,-0.1223,0.0229,0.3914,0.0246
stacking_with_f_tests-alpha=0.50,yeast,0.2189,0.009,-0.206,0.0063,0.4269,0.0174
