model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
stacking_with_f_tests-alpha=0.75,birds,0.5209,0.051,-0.0413,0.0046,0.2031,0.0335
stacking_with_f_tests-alpha=0.75,emotions,0.3154,0.031,-0.1864,0.0108,0.6512,0.036
stacking_with_f_tests-alpha=0.75,scene,0.4786,0.1342,-0.1082,0.0272,0.3872,0.0782
stacking_with_f_tests-alpha=0.75,yeast,0.1945,0.0134,-0.1921,0.0024,0.3657,0.0043
stacking_with_f_tests-alpha=0.75,enron,0.067,0.0284,-0.0491,0.0042,0.0937,0.0073
stacking_with_f_tests-alpha=0.75,genbase,0.9562,0.0292,-0.0023,0.0018,0.6318,0.0607
stacking_with_f_tests-alpha=0.75,medical,0.5471,0.0444,-0.0132,0.0013,0.23,0.0252
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,0.5132,0.0417,-0.0416,0.0042,0.2165,0.0171
classifier_chain_with_f_test_ordering-ascending_chain=False,emotions,0.317,0.0096,-0.1886,0.0072,0.6401,0.0269
classifier_chain_with_f_test_ordering-ascending_chain=False,scene,0.4906,0.1301,-0.1047,0.0274,0.3918,0.0795
classifier_chain_with_f_test_ordering-ascending_chain=False,yeast,0.2176,0.0054,-0.1939,0.0038,0.3703,0.0057
classifier_chain_with_f_test_ordering-ascending_chain=False,enron,0.0488,0.0197,-0.05,0.0031,0.0928,0.0113
classifier_chain_with_f_test_ordering-ascending_chain=False,genbase,0.9547,0.0312,-0.0023,0.0021,0.6264,0.0601
classifier_chain_with_f_test_ordering-ascending_chain=False,medical,0.5492,0.0478,-0.0132,0.0017,0.231,0.0279
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,0.5163,0.0477,-0.0414,0.0043,0.2118,0.0188
classifier_chain_with_f_test_ordering-ascending_chain=True,emotions,0.3305,0.0296,-0.1849,0.0091,0.6384,0.0276
classifier_chain_with_f_test_ordering-ascending_chain=True,scene,0.4694,0.1369,-0.1118,0.0304,0.3795,0.0787
classifier_chain_with_f_test_ordering-ascending_chain=True,yeast,0.2325,0.0137,-0.1927,0.0041,0.3703,0.008
classifier_chain_with_f_test_ordering-ascending_chain=True,enron,0.1063,0.0932,-0.0489,0.0061,0.0959,0.012
classifier_chain_with_f_test_ordering-ascending_chain=True,genbase,0.9532,0.0348,-0.0025,0.0023,0.63,0.0675
classifier_chain_with_f_test_ordering-ascending_chain=True,medical,0.5359,0.049,-0.0132,0.0016,0.2189,0.0161
classifier_chain_with_lop-num_generations=10,birds,0.5209,0.0466,-0.041,0.0033,0.2088,0.02
classifier_chain_with_lop-num_generations=10,emotions,0.3204,0.027,-0.1863,0.0105,0.6425,0.0423
classifier_chain_with_lop-num_generations=10,scene,0.4748,0.1371,-0.1104,0.0293,0.3863,0.0814
classifier_chain_with_lop-num_generations=10,yeast,0.2234,0.0081,-0.195,0.0026,0.3631,0.0058
classifier_chain_with_lop-num_generations=10,enron,0.0676,0.0319,-0.0496,0.0041,0.0901,0.0147
classifier_chain_with_lop-num_generations=10,genbase,0.9592,0.0346,-0.0022,0.0022,0.637,0.0664
classifier_chain_with_lop-num_generations=10,medical,0.541,0.0644,-0.0131,0.0019,0.2311,0.028
classifier_chain_with_lop-num_generations=25,birds,0.524,0.0454,-0.0408,0.0047,0.2182,0.0315
classifier_chain_with_lop-num_generations=25,emotions,0.3154,0.0217,-0.1889,0.0096,0.6324,0.0445
classifier_chain_with_lop-num_generations=25,scene,0.4723,0.135,-0.1105,0.0294,0.3877,0.085
classifier_chain_with_lop-num_generations=25,yeast,0.2288,0.0093,-0.192,0.0036,0.3732,0.0043
classifier_chain_with_lop-num_generations=25,enron,0.111,0.1094,-0.0482,0.0066,0.0923,0.0072
classifier_chain_with_lop-num_generations=25,genbase,0.9547,0.0372,-0.0023,0.0023,0.628,0.0677
classifier_chain_with_lop-num_generations=25,medical,0.5502,0.0506,-0.013,0.0019,0.2349,0.0261
classifier_chain_with_lop-num_generations=50,birds,0.5271,0.0419,-0.0411,0.0042,0.2128,0.0207
classifier_chain_with_lop-num_generations=50,emotions,0.3221,0.024,-0.1858,0.0099,0.6387,0.0502
classifier_chain_with_lop-num_generations=50,scene,0.4757,0.134,-0.1111,0.0306,0.3917,0.0853
classifier_chain_with_lop-num_generations=50,yeast,0.2275,0.0148,-0.196,0.0057,0.3643,0.0051
classifier_chain_with_lop-num_generations=50,enron,0.1069,0.0992,-0.0489,0.0064,0.0882,0.0075
classifier_chain_with_lop-num_generations=50,genbase,0.9532,0.0313,-0.0024,0.0021,0.6229,0.0712
classifier_chain_with_lop-num_generations=50,medical,0.5553,0.0552,-0.0128,0.0017,0.2289,0.0253
partial_classifier_chain_with_lop-num_generations=10,birds,0.5225,0.0527,-0.0411,0.0047,0.2024,0.031
partial_classifier_chain_with_lop-num_generations=10,emotions,0.317,0.0205,-0.1894,0.0094,0.6307,0.0405
partial_classifier_chain_with_lop-num_generations=10,scene,0.4769,0.1354,-0.1098,0.0302,0.3868,0.0786
partial_classifier_chain_with_lop-num_generations=10,yeast,0.2309,0.0102,-0.1911,0.0041,0.3724,0.0073
partial_classifier_chain_with_lop-num_generations=10,enron,0.0646,0.0224,-0.0485,0.0044,0.0938,0.013
partial_classifier_chain_with_lop-num_generations=10,genbase,0.9592,0.0319,-0.0021,0.002,0.6358,0.0617
partial_classifier_chain_with_lop-num_generations=10,medical,0.5318,0.0452,-0.0133,0.0017,0.2268,0.0239
partial_classifier_chain_with_lop-num_generations=25,birds,0.524,0.0479,-0.0413,0.0043,0.2068,0.0133
partial_classifier_chain_with_lop-num_generations=25,emotions,0.307,0.0221,-0.1892,0.0086,0.6353,0.0405
partial_classifier_chain_with_lop-num_generations=25,scene,0.4773,0.1349,-0.1099,0.031,0.3908,0.0814
partial_classifier_chain_with_lop-num_generations=25,yeast,0.2172,0.0128,-0.1963,0.0037,0.3634,0.0084
partial_classifier_chain_with_lop-num_generations=25,enron,0.0687,0.0373,-0.0483,0.005,0.0926,0.0104
partial_classifier_chain_with_lop-num_generations=25,genbase,0.9562,0.0292,-0.0025,0.0021,0.6295,0.0605
partial_classifier_chain_with_lop-num_generations=25,medical,0.5379,0.0436,-0.0134,0.0017,0.2278,0.0255
partial_classifier_chain_with_lop-num_generations=50,birds,0.5302,0.0477,-0.041,0.0042,0.2115,0.0131
partial_classifier_chain_with_lop-num_generations=50,emotions,0.3103,0.0262,-0.192,0.0108,0.6305,0.0418
partial_classifier_chain_with_lop-num_generations=50,scene,0.4769,0.1354,-0.1095,0.0303,0.3904,0.0833
partial_classifier_chain_with_lop-num_generations=50,yeast,0.223,0.0116,-0.1964,0.0059,0.3677,0.0104
partial_classifier_chain_with_lop-num_generations=50,enron,0.0605,0.0269,-0.0491,0.0046,0.0903,0.0113
partial_classifier_chain_with_lop-num_generations=50,genbase,0.9592,0.0346,-0.0022,0.0021,0.6359,0.0622
partial_classifier_chain_with_lop-num_generations=50,medical,0.5359,0.0382,-0.0133,0.0015,0.2293,0.0213
