model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
baseline_binary_relevance_model,birds,0.524,0.0467,-0.0408,0.0037,0.2126,0.0143
baseline_binary_relevance_model,emotions,0.3002,0.0268,-0.1872,0.0097,0.6249,0.0388
baseline_binary_relevance_model,scene,0.4615,0.1364,-0.1091,0.0283,0.3826,0.0796
baseline_binary_relevance_model,yeast,0.1655,0.0077,-0.1901,0.0018,0.3622,0.006
baseline_binary_relevance_model,enron,0.0494,0.0203,-0.049,0.0043,0.0906,0.0146
baseline_binary_relevance_model,genbase,0.9547,0.0313,-0.0023,0.0019,0.6317,0.0606
baseline_binary_relevance_model,medical,0.5338,0.0442,-0.0132,0.0014,0.2295,0.0228
baseline_stacked_generalization,birds,0.524,0.0467,-0.0408,0.0037,0.2126,0.0143
baseline_stacked_generalization,emotions,0.3002,0.0268,-0.1872,0.0097,0.6249,0.0388
baseline_stacked_generalization,scene,0.4615,0.1364,-0.1091,0.0283,0.3826,0.0796
baseline_stacked_generalization,yeast,0.1655,0.0077,-0.1903,0.0018,0.3621,0.0059
baseline_stacked_generalization,enron,0.0488,0.0208,-0.0488,0.0043,0.0927,0.0144
baseline_stacked_generalization,genbase,0.9547,0.0313,-0.0023,0.0019,0.6317,0.0606
baseline_stacked_generalization,medical,0.5348,0.0446,-0.0132,0.0014,0.231,0.0256
baseline_dependant_binary_relevance,birds,0.5256,0.0403,-0.0412,0.0038,0.2192,0.0204
baseline_dependant_binary_relevance,emotions,0.3322,0.0268,-0.1855,0.0115,0.6568,0.0344
baseline_dependant_binary_relevance,scene,0.5018,0.126,-0.106,0.029,0.408,0.0833
baseline_dependant_binary_relevance,yeast,0.1775,0.0076,-0.1986,0.0033,0.3702,0.008
baseline_dependant_binary_relevance,enron,0.084,0.0521,-0.0486,0.0058,0.0961,0.0108
baseline_dependant_binary_relevance,genbase,0.9592,0.0307,-0.0022,0.0021,0.6275,0.0725
baseline_dependant_binary_relevance,medical,0.5584,0.0583,-0.0128,0.0018,0.2483,0.0372
baseline_classifier_chain,birds,0.5256,0.0414,-0.0416,0.0035,0.2037,0.0241
baseline_classifier_chain,emotions,0.3288,0.0252,-0.185,0.0114,0.6358,0.0312
baseline_classifier_chain,scene,0.4852,0.1378,-0.1077,0.0298,0.3939,0.0829
baseline_classifier_chain,yeast,0.223,0.0032,-0.1922,0.0039,0.3775,0.01
baseline_classifier_chain,enron,0.0892,0.0776,-0.0479,0.0058,0.0955,0.0088
baseline_classifier_chain,genbase,0.9608,0.0299,-0.0021,0.002,0.6379,0.0627
baseline_classifier_chain,medical,0.5369,0.0552,-0.0135,0.0016,0.2195,0.0144
stacking_with_f_tests-alpha=0.25,birds,0.5225,0.0437,-0.0409,0.0037,0.2133,0.0139
stacking_with_f_tests-alpha=0.25,emotions,0.3002,0.0268,-0.1872,0.0097,0.6249,0.0388
stacking_with_f_tests-alpha=0.25,scene,0.4615,0.1364,-0.109,0.0284,0.3826,0.0796
stacking_with_f_tests-alpha=0.25,yeast,0.1812,0.0155,-0.1896,0.0018,0.3659,0.0062
stacking_with_f_tests-alpha=0.25,enron,0.0494,0.0203,-0.049,0.0043,0.0906,0.0141
stacking_with_f_tests-alpha=0.25,genbase,0.9547,0.0313,-0.0023,0.0019,0.6317,0.0606
stacking_with_f_tests-alpha=0.25,medical,0.5389,0.0496,-0.0131,0.0015,0.2345,0.0305
stacking_with_f_tests-alpha=0.50,birds,0.5178,0.0474,-0.0415,0.004,0.199,0.0178
stacking_with_f_tests-alpha=0.50,emotions,0.3035,0.0266,-0.1897,0.006,0.6334,0.034
stacking_with_f_tests-alpha=0.50,scene,0.4786,0.142,-0.1064,0.0274,0.3916,0.082
stacking_with_f_tests-alpha=0.50,yeast,0.182,0.0093,-0.1933,0.0027,0.3606,0.0056
stacking_with_f_tests-alpha=0.50,enron,0.0617,0.0295,-0.0493,0.0045,0.092,0.0113
stacking_with_f_tests-alpha=0.50,genbase,0.9547,0.0313,-0.0023,0.0019,0.6317,0.0606
stacking_with_f_tests-alpha=0.50,medical,0.5328,0.0491,-0.0134,0.0015,0.2296,0.0257
