model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
baseline_binary_relevance_model,birds,0.524,0.0467,-0.0408,0.0037,0.2126,0.0143
baseline_stacked_generalization,birds,0.524,0.0467,-0.0408,0.0037,0.2126,0.0143
baseline_dependant_binary_relevance,birds,0.5256,0.0403,-0.0412,0.0038,0.2192,0.0204
baseline_classifier_chain,birds,0.5256,0.0414,-0.0416,0.0035,0.2037,0.0241
stacking_with_f_tests-alpha=0.25,birds,0.5225,0.0437,-0.0409,0.0037,0.2133,0.0139
stacking_with_f_tests-alpha=0.50,birds,0.5178,0.0474,-0.0415,0.004,0.199,0.0178
stacking_with_f_tests-alpha=0.75,birds,0.5209,0.051,-0.0413,0.0046,0.2031,0.0335
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,0.5132,0.0417,-0.0416,0.0042,0.2165,0.0171
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,0.5163,0.0477,-0.0414,0.0043,0.2118,0.0188
classifier_chain_with_lop-num_generations=10,birds,0.524,0.0492,-0.0409,0.0046,0.2049,0.0088
classifier_chain_with_lop-num_generations=25,birds,0.5318,0.044,-0.0406,0.0045,0.2217,0.012
classifier_chain_with_lop-num_generations=50,birds,0.5163,0.0467,-0.0418,0.0046,0.1982,0.0257
partial_classifier_chain_with_lop-num_generations=10,birds,0.5318,0.0464,-0.0411,0.0039,0.2085,0.0151
partial_classifier_chain_with_lop-num_generations=25,birds,0.5271,0.0473,-0.0414,0.0044,0.2076,0.0106
partial_classifier_chain_with_lop-num_generations=50,birds,0.5349,0.0419,-0.041,0.0042,0.2127,0.012
