model,birds,birds_std,emotions,emotions_std,scene,scene_std,yeast,yeast_std,enron,enron_std,genbase,genbase_std,medical,medical_std,tmc2007_500,tmc2007_500_std,best_birds,best_emotions,best_scene,best_yeast,best_enron,best_genbase,best_medical,best_tmc2007_500,best_awards
baseline_binary_relevance_model,-0.0459,0.007,-0.2136,0.0194,-0.125,0.0437,-0.2058,0.0089,-0.0641,0.0095,-0.0027,0.0018,-0.0162,0.0029,-0.0648,0.0085,1,0,0,0,0,1,0,0,2
baseline_stacked_generalization,-0.0461,0.0069,-0.2159,0.0186,-0.1234,0.042,-0.2099,0.0089,-0.0641,0.0099,-0.0028,0.0018,-0.0156,0.0027,-0.0643,0.0087,0,0,0,0,0,0,1,1,2
baseline_dependant_binary_relevance,-0.0504,0.0072,-0.2171,0.0177,-0.1303,0.045,-0.212,0.0072,-0.0639,0.0091,-0.0035,0.0024,-0.0163,0.0027,-0.0653,0.0085,0,0,0,0,1,0,0,0,1
baseline_classifier_chain,-0.0528,0.0079,-0.2116,0.012,-0.1359,0.0509,-0.2159,0.0081,-0.0644,0.011,-0.0029,0.0018,-0.0161,0.0027,-0.0656,0.0085,0,1,0,0,0,0,0,0,1
stacking_with_f_tests,-0.0461,0.0071,-0.2136,0.0194,-0.1252,0.0438,-0.2057,0.0093,-0.064,0.0093,-0.0027,0.0018,-0.0164,0.0031,-0.0649,0.0085,0,0,0,1,0,1,0,0,2
classifier_chain_with_f_test_ordering,-0.049,0.0066,-0.213,0.0142,-0.1204,0.0425,-0.2089,0.009,-0.0675,0.0098,-0.0029,0.0019,-0.0158,0.0029,-0.0655,0.0083,0,0,1,0,0,0,0,0,1
classifier_chain_with_lop,-0.0504,0.0098,-0.2128,0.0217,-0.1417,0.0505,-0.2096,0.006,-0.0659,0.0098,-0.0029,0.0019,-0.017,0.0027,-0.0656,0.0082,0,0,0,0,0,0,0,0,0
