model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
stacking_with_f_tests-alpha=0.75,tmc2007_500,0.2704,0.0472,-0.0652,0.0084,0.4315,0.0649
classifier_chain_with_f_test_ordering-ascending_chain=False,birds,,,,,,
classifier_chain_with_f_test_ordering-ascending_chain=False,emotions,0.1837,0.0385,-0.2707,0.0155,0.4816,0.0258
classifier_chain_with_f_test_ordering-ascending_chain=False,scene,0.6079,0.1207,-0.1205,0.0426,0.2833,0.0462
classifier_chain_with_f_test_ordering-ascending_chain=False,yeast,0.2408,0.0248,-0.2184,0.0099,0.4239,0.0152
classifier_chain_with_f_test_ordering-ascending_chain=False,enron,,,,,,
classifier_chain_with_f_test_ordering-ascending_chain=False,genbase,,,,,,
classifier_chain_with_f_test_ordering-ascending_chain=False,medical,,,,,,
classifier_chain_with_f_test_ordering-ascending_chain=False,tmc2007_500,0.277,0.0492,-0.0658,0.0086,0.4346,0.0645
classifier_chain_with_f_test_ordering-ascending_chain=True,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
classifier_chain_with_f_test_ordering-ascending_chain=True,emotions,0.1821,0.0342,-0.2716,0.0133,0.4794,0.0301
classifier_chain_with_f_test_ordering-ascending_chain=True,scene,0.5755,0.1285,-0.133,0.0455,0.2755,0.0498
classifier_chain_with_f_test_ordering-ascending_chain=True,yeast,0.2371,0.0283,-0.2142,0.0093,0.4258,0.0123
classifier_chain_with_f_test_ordering-ascending_chain=True,enron,,,,,,
classifier_chain_with_f_test_ordering-ascending_chain=True,genbase,,,,,,
classifier_chain_with_f_test_ordering-ascending_chain=True,medical,,,,,,
classifier_chain_with_f_test_ordering-ascending_chain=True,tmc2007_500,0.2773,0.0463,-0.0655,0.0083,0.4315,0.0652
classifier_chain_with_lop-num_generations=10,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
classifier_chain_with_lop-num_generations=10,emotions,0.182,0.0357,-0.2716,0.0153,0.4803,0.0282
classifier_chain_with_lop-num_generations=10,scene,0.5447,0.1385,-0.1424,0.05,0.2728,0.0433
classifier_chain_with_lop-num_generations=10,yeast,0.2395,0.0257,-0.2137,0.0074,0.4208,0.0125
classifier_chain_with_lop-num_generations=10,enron,0.0493,0.028,-0.0674,0.0084,0.065,0.0201
classifier_chain_with_lop-num_generations=10,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
classifier_chain_with_lop-num_generations=10,medical,0.5084,0.0696,-0.0176,0.0031,0.1771,0.0226
classifier_chain_with_lop-num_generations=10,tmc2007_500,0.2752,0.0472,-0.0659,0.0085,0.4277,0.0665
classifier_chain_with_lop-num_generations=25,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
classifier_chain_with_lop-num_generations=25,emotions,0.1837,0.0346,-0.2719,0.0149,0.4795,0.0275
classifier_chain_with_lop-num_generations=25,scene,0.5447,0.1385,-0.1421,0.0497,0.2732,0.0428
classifier_chain_with_lop-num_generations=25,yeast,0.2449,0.02,-0.2157,0.0101,0.418,0.0112
classifier_chain_with_lop-num_generations=25,enron,0.0611,0.043,-0.067,0.0093,0.063,0.02
classifier_chain_with_lop-num_generations=25,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
classifier_chain_with_lop-num_generations=25,medical,0.5093,0.06,-0.0172,0.0024,0.1814,0.0247
classifier_chain_with_lop-num_generations=25,tmc2007_500,0.2725,0.0451,-0.066,0.0081,0.4262,0.0644
classifier_chain_with_lop-num_generations=50,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
classifier_chain_with_lop-num_generations=50,emotions,0.1837,0.0346,-0.2721,0.0147,0.4799,0.0279
classifier_chain_with_lop-num_generations=50,scene,0.5447,0.1385,-0.1426,0.0502,0.2717,0.0429
classifier_chain_with_lop-num_generations=50,yeast,0.2408,0.0151,-0.2125,0.0091,0.4211,0.0142
classifier_chain_with_lop-num_generations=50,enron,0.0552,0.0356,-0.0666,0.0088,0.0643,0.0209
classifier_chain_with_lop-num_generations=50,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
classifier_chain_with_lop-num_generations=50,medical,0.5104,0.0606,-0.0171,0.0026,0.1819,0.0315
classifier_chain_with_lop-num_generations=50,tmc2007_500,0.2739,0.0468,-0.066,0.0083,0.4241,0.0648
partial_classifier_chain_with_lop-num_generations=10,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
partial_classifier_chain_with_lop-num_generations=10,emotions,0.1837,0.0368,-0.2713,0.015,0.4826,0.0265
partial_classifier_chain_with_lop-num_generations=10,scene,0.541,0.1388,-0.141,0.0497,0.2714,0.0416
partial_classifier_chain_with_lop-num_generations=10,yeast,0.2474,0.0184,-0.2104,0.0064,0.4259,0.0111
partial_classifier_chain_with_lop-num_generations=10,enron,0.0423,0.0232,-0.0641,0.009,0.0651,0.0205
partial_classifier_chain_with_lop-num_generations=10,genbase,0.0782,0.1156,-0.0593,0.0224,0.0088,0.0103
partial_classifier_chain_with_lop-num_generations=10,medical,0.4899,0.061,-0.0167,0.0027,0.1705,0.0226
partial_classifier_chain_with_lop-num_generations=10,tmc2007_500,0.2703,0.0491,-0.0651,0.0084,0.4277,0.0647
partial_classifier_chain_with_lop-num_generations=25,birds,0.4606,0.0716,-0.0578,0.0095,0.0537,0.0224
partial_classifier_chain_with_lop-num_generations=25,emotions,0.182,0.0357,-0.2716,0.0148,0.4814,0.026
